episode,title_en,title_original,phase,milestones
1,Is Love Blind?,Är kärleken blind?,Pods,"A new set of Swedish singles prepare to meet their matches. As they share laughter, tears and their deepest beliefs, sparks are already beginning to fly."
2,I Just Want to Eat You Up!,Jag vill bara äta upp dig!,Pods,Relationships start to deepen and knees begin to bend as the singles become couples. One man torn between two women is at risk of losing them both.
3,The Most Important Decision in My Life,Mitt livs viktigaste beslut,Pods,"Hearts are broken and questions are popped as love triangles are shattered, and one single struggles to choose between his faith and his feelings."
4,Love Bombing,Lovebombing,Honeymoon,"The engaged couples head to Corfu to put their attraction to the test. But as one new fiancé showers his partner with love, is it all too much, too soon?"
5,Reactions: The Pods Are Now Open!,Reaktionerna: Kapslarna är öppna!,Honeymoon,"Influencers Kaeli Abdi, Filip Dikmen, Carolina Gynning, Fanna Ndow Norrby, Emil Henrohn and Sofia Dalén watch and react to the unfolding romances."
6,"An Engagement Ring, Not a Leg Spreader","En förlovningsring , ingen leg opener",Honeymoon,"There's trouble in paradise on the couples' Greek getaway. One fiancée issues an ultimatum -- while for another relationship, it may already be too late."
7,What If I Say No?,Vad händer om jag säger nej?,Moving In Together,"The honeymoon's over, as all the couples -- except one -- land back in Stockholm, and start to come to terms with the reality of living together."
8,Everything's Gone in a Second,Allt var borta på en sekund,Moving In Together,"Not everyone feels like celebrating at the couples' engagement party. Some old friends and a shocking revelation make the atmosphere even more tense."
9,Reactions: Living Together,Reaktionerna: Leva tillsammans,Moving In Together,"In this reaction episode, the six influencers give their unfiltered takes on the couples' post-retreat life, a juicy meet-up and one epic moment."
10,Scary But Obvious,Läskigt men självklart,Wedding,"An overheard phone call and a potential flat move become points of tension, before the future brides and grooms go shopping for their wedding clothes."
11,Love is a Decision,Kärlek är ett beslut,Wedding,"After a last-minute bombshell, the remaining pairs prepare for the biggest day — and decision — of their lives. But will any of them make it up the aisle?"
12,Reactions: Love is a Decision,Reaktionerna: Kärlek är ett beslut,Wedding,"Nobody holds back as the influencers unpack the full season including final couple drama, a fiery plot twist and who says ""I do"" in this reaction episode."
13,The Reunion,Återträffen,Reunion,"Jessica Almenäs is joined by this season's couples and pod squad familiar faces to unpack the drama, answer burning questions — and share surprise news."
